Name,Pricing,Categories,Ratings,Latest Release,Tool Intro Information,Highlights,Description,Requirements,Support,Additional Information,About Company,Website,Email,Address
"Native Document Generation & E-Signature: PDF, Word, XLS, Email, Reports: S-Docs",Free,Document Generation,-343,7/20/2021,"Create & E-Sign proposals, quotes, contracts and more. 100% Force.com
 Automate document creation and delivery in minutes with the ONLY solution that runs 100% within your Salesforce cloud. ##Create documents via click, workflow or batch:##✔Quotes##✔Invoices##✔Proposals##✔Statements##✔Account Summaries##✔Contracts##✔Reports","There is no document generation solution that is more secure! • 100% Force.com. • No external/third-party web services • No plug-ins • No downloads • No client installs • Leverages standard Salesforce.com permissions • Data never leaves salesforce cloud•

Supports both standard and custom objects • 1-Click document creation • Event-driven auto-creation • E-signature support • Lightning Ready • salesforce1 and chatter integration • Auto-creates activities and follow-up tasks • Reusable components•

Point-and-click template editor is designed for non-programmers • Seamless UI with salesforce • Leverages salesforce permissions, workflow and sharing model • HTML5 supports all mobile devices •","S-Docs is the smart choice because it's:##✔Easier to Use##✔More Secure##✔More Powerful##✔More Cost Effective####Since S-Docs is 100% native, it runs seamlessly within salesforce and acts like a natural extension of salesforce's familiar user interface. Being 100% native also means your sensitive customer data never leaves the salesforce cloud.####With advanced features like 1-click automation, conditional logic, reusable components, SOQL support, run-time prompts and full REST APIs (to name just a few), S-Docs delivers the most capabilities.####S-DOCS IS THE ONLY DOCUMENT AUTOMATION SOLUTION THAT:##• Is 100% Native##• Leverages salesforce for ALL Config, Admin and Security##• Does NOT send ANY data off the salesforce platform##• Includes powerful features like batch and workflow without add-ons####You can create:##✔Emails##✔Reports##✔Claim Forms##✔Welcome Letters##✔Form Letters####S-Docs is FREE to use with up to 2 templates!####If you're ready for more templates, you'll find S-Docs is more cost effective because you don’t pay twice for infrastructure (not to mention the added time, complexity, security risk, and integration cost).####It’s the smart choice. Contact us for a demo.","Salesforce Edition
Enterprise, Unlimited, Force.com, Developer, Performance
Other System Requirements
No additional system requirements","(800) 519-DOCS /  +1-212-729-8100
Ëmail
support@sdocs.com
Knowledge Base
https://www.sdocs.com/documentation","Package Name
SDocs
Version
2021 Summer (4.439) / 4.439.0
Listed On
6/11/2010
Latest Release
7/20/2021
Languages
Dutch,English,Finnish,French,German,Danish,Italian,Japanese,Korean,Portuguese,Russian,Simplified Chinese,Spanish,Swedish,Thai,Traditional Chinese","S-Docs Inc is the developer of S-Docs for Salesforce, the only solution that allows Salesforce users to create quotes, contracts, emails, reports and other documents directly on the Salesforce platform without using any third party external services. It's the only 100% Native document generator available for Salesforce.####Native means that S-Docs leverages the world-class force.com platform that is already paid for with existing Salesforce user licenses. Competitors make claims like ""you never leave Salesforce"", but this doesn't hold true for your data. Not only is S-Docs more secure, faster, more feature-rich and easier to administer, but it's also significantly more cost effective. This is the S-Docs difference, and this is why we have experienced such significant growth with companies turning to S-Docs as the smarter choice.####S-Docs is used by thousands of global subscribers from all industries with a multitude of use cases, but they all share one key theme: The need for a powerful yet easy-to-use native solution. We are proud that they have made us the #1 native document generator and put us in the top 1% of all apps on the Salesforce AppExchange.  ####http://www.sdocs.com",http://www.sdocs.com,sales@sdocs.com,"521 Fifth Ave, New York, NY 10175"
RingLead Field Trip – Discover Unused Fields and Analyze Data Quality,Free,Admin & Developer Tools,-248,5/21/2020,"Reports on standard and custom field usage for insight into data quality
 Ever wish you could run reports on the fields you have in Salesforce? Take a Field Trip! Analyze the fields of any object, what percentage of records have that field populated, and the overall health of your data.","DISCOVER UNUSED FIELDS##Easily run and save reports to identify which of your fields can be removed to improve the overall health of your Salesforce data.

GENERATE YOUR RINGLEAD DATA QUALITY SCORE##Your RingLead Data Quality Score is computed based on the fill rate and weight of the object's fields. Default weights for your fields are provided by RingLead, but are also fully customizable.

ANALYZE FIELDS ON ANY OBJECT##Go beyond your Leads, Contacts, and Account Objects for a complete audit of your fields.","Ever wish that you could finally achieve that perfect, clutter-free page layout that you’ve been dreaming about? Unpopulated fields in your Salesforce Org cause confusion, skew reports, and make basic admin duties more difficult than they need to be.  ####Field Trip lets you analyze the fields of any object, giving you instant insight into what percentage of your records (or a subset) have that specific field populated. Run reports on the standard and custom fields you have in Salesforce for a better understanding of which field are important to your organization. ####With a simple install, an intuitive user interface, and an easy-to-export report, Field Trip has made analyzing your fields quick and painless. ####Once installed, simply name your trip, select an object (e.g. Accounts) and, optionally add a filter (for record subsets). Then you will receive a report detailing field usage (or lack thereof), available for simple export.","Salesforce Edition
Enterprise, Unlimited, Force.com, Developer, Performance
Other System Requirements
No additional system requirements",,"Package Name
Field Trip
Version
Spring 2020 / 2.7.0
Listed On
11/9/2010
Latest Release
5/21/2020
Languages
English","RingLead offers a complete end-to-end suite of products to clean, protect and enhance company and contact information, leading to improved organizational efficiency, reliable business intelligence, and maximized ROI on CRM and marketing automation investments.####Since 2003 RingLead has helped solve the dirty data problems of large enterprises, Fortune 500 companies and small businesses across the globe.####Our complete focus is ensuring our customers' continued success with our products and, by extension, their CRM and marketing automation initiatives.####RingLead is all about team. We are a group of data-driven marketers, salespeople, customer success experts, engineers, and leaders in data quality, CRM and marketing automation.",http://www.ringlead.com,sales@ringlead.com,
Permission Helper,Free,IT & Administration,-82,8/18/2021,"Streamline Permissions Management with Easy-To-Use Tools
 The Permission Helper contains tools to simplify your permissions processes. The current version includes: ##* Profile to Permission Set Converter ##* Permission Analyzer##* Permission Report####View a quick demo: https://youtu.be/m_I6IZiJ90M",#NAME?,*Permission Analyzer (New!) *##Analyze by a permission to view the list of profiles and permission sets that contain it. You can also analyze by user to view a summation of all permissions assigned to a user. View which specific profiles or permission sets contain a permission.  Understand your permissions structure with just a few clicks and keep your permission assignments up-to-date.####*Profile to Permission Set Converter* ##Create permission sets from standard or custom user profiles. The generated permission set includes all permissions from the selected profile and is immediately assignable to one or multiple users. The tool simplifies management of user profile and permissions when Salesforce admins need to upgrade user licenses. Admins can also assign permissions to new users based on an existing profile. Transition from profiles to perm sets easily!,"Salesforce Edition
Professional, Enterprise, Unlimited, Force.com, Developer, Performance, Essentials
Other System Requirements
We recommend to Select “Install for Admins Only”##For non-admin users, you need to have the following permissions enabled. ##   - Customize Application##   - Manage Profiles and Permission Sets##Requires Mydomain enabled.","Knowledge Base
https://sfdc.co/permissionhelper","Package Name
Profile2PermSet
Version
Permission Helper / 2.28.0
Listed On
10/19/2018
Latest Release
8/18/2021
Languages
English","Salesforce Labs is a program that lets salesforce.com engineers, professional services staff and other employees share AppExchange apps they've created with the customer community.  Inspired by employees' work with customers of all sizes and industries, these apps range from simple utilities to entire vertical solutions.  Salesforce Labs apps are free to use, but are not official salesforce.com products, and should be considered community projects - these apps are not officially tested or documented.  For help on any Salesforce Labs app please consult the Salesforce message boards - salesforce.com support is not available for these applications. Questions? Please visit https://success.salesforce.com/answers.",https://appexchange.salesforce.com/collection/SalesforceLabs,,
In-App Guidance Walkthroughs: Getting Started for Sales Users,Free,Admin & Developer Tools,0,7/1/2020,"Test out generally available In-App Guidance with premade walkthroughs.
 We used the generally available In-App Guidance feature to create this package of four example walkthroughs. Provide your new sales users with interactive training that complements the Lightning Experience for Salesforce Classic Users Trailhead module.","The four walkthroughs cover the basics, navigation, list views, and records.

Each walkthrough provides helpful resources, such as videos.

Edit the schedule, profiles, permission, and status settings. Or, clone the walkthrough to make more changes.","In Summer ‘20, Salesforce made walkthroughs available. This package uses that feature to create example walkthroughs. To see walkthroughs, users need a license from the myTrailhead subscription. For pricing details, contact your Salesforce account executive. See the Start Walkthrough Trial button on the In-App Guidance Setup page to start a 30-day free trial.####Whether you’re transitioning your sales team from Salesforce Classic to Lightning Experience or onboarding users for the first time, this set of walkthroughs helps users identify key features to help them get up and running quickly.####Introduce users to the basics: the Help Menu, profile and personal settings, and favorites##Help users quickly get to the records that matter the most to them with the App Launcher and navigation bar##Guide users through creating, editing, and consuming data from lists##Train users on the most efficient way to work with records####See the Customization Guides section for links to product documentation, including how to clone and customize walkthroughs. Look for a PDF of all the walkthrough copy and tips for customization on this listing page.","Salesforce Edition
Professional, Enterprise, Unlimited, Force.com, Developer, Performance, Essentials
Other System Requirements
Lightning Experience",,"Package Name
In-App Guidance Walkthroughs: Getting Started for Sales Users
Version
Summer 2020 / 1.0.0
Listed On
8/13/2020
Latest Release
7/1/2020
Languages
English","Salesforce Labs is a program that lets salesforce.com engineers, professional services staff & other employees share AppExchange apps they've created with the customer community.  Inspired by employees' work with customers of all sizes and industries, these apps range from simple utilities to entire vertical solutions.  Salesforce Labs apps are free to use, but are not official salesforce.com products, and should be considered community projects - these apps are not officially tested or documented.  For help on any Salesforce Labs app please consult the Salesforce message boards - salesforce.com support is not available for these applications. Questions? Please visit https://success.salesforce.com/answers.",https://appexchange.salesforce.com/collection/SalesforceLabs,,"San Francisco, CA, USA"
Salesforce CRM Dashboards,Free,Analytics,-26,6/20/2011,"Great dashboard pack to get you started.
 Your one stop shop for GREAT example dashboards.  Includes dashboards for Executives, Reps, Sales, Support and more.  Checkout the Details Tab for more information.","Gives you best-practices dashboards and reports for your sales, marketing, and service teams—straight out of the box.

Provides comprehensive insight into organization, team, and individual performance.

Increases the CRM adoption and effectiveness of your sales and service organizations.","With these CRM dashboards, your sales and service teams can stay on top of every deal or case, and close more business on time than ever before. Sales Managers will have more visibility into open opportunities and gain greater pipeline predictability. Dashboards and reports in this package are intended to provide you with a starting point to make reporting easier in your organization. Find out more at https://na1.salesforce.com/help/doc/en/salesforce_dashboard_samples.pdf.## ##The package includes the following dashboards and their source reports:## ##Sales & Marketing Dashboards##·        Marketing Executive Dashboard##·        Sales Executive Dashboard##·        Sales Manager Dashboard##·        Salesperson Dashboard ####Customer Service Dashboards##·        Agent Supervisor Overview Dashboard##·        Service Executive Overview Dashboard##·        Service KPIs Dashboard","Salesforce Edition
Professional, Enterprise, Unlimited, Developer, Performance
Other System Requirements
No additional system requirements",,"Package Name
Salesforce.com CRM Dashboards
Version
Summer 2011 / 1.0.0
Listed On
6/27/2011
Latest Release
6/20/2011
Languages
English","Salesforce Labs is a program that lets salesforce.com engineers, professional services staff and other employees share AppExchange apps they've created with the customer community.  Inspired by employees' work with customers of all sizes and industries, these apps range from simple utilities to entire vertical solutions.  Salesforce Labs apps are free to use, but are not official salesforce.com products, and should be considered community projects - these apps are not officially tested or documented.  For help on any Salesforce Labs app please consult the Salesforce message boards - salesforce.com support is not available for these applications. Questions? Please visit https://success.salesforce.com/answers.",https://appexchange.salesforce.com/collection/SalesforceLabs,,
ZoomInfo Powered by DiscoverOrg,"Starting at $14,995 USD per company per year",Sales Intelligence,-292,8/27/2021,"Accelerate Growth with the Leading Sales & Marketing Intelligence Platform
 ZoomInfo Powered by DiscoverOrg provides the most accurate source of contact data and intelligence helping sales and marketing teams find, connect with, and sell to the right buyers at the right time with the right message.","With the ZoomInfo Powered by DiscoverOrg app for Salesforce, your sales and marketing teams can find new prospect accounts in your target market and instantly identify decision-makers and other key stakeholders.

Boost connect rates with verified direct-dial phone numbers and email addresses. Easily identify discrepancies between Salesforce and ZoomInfo Powered by DiscoverOrg records in real-time, and manually update data selectively or in bulk.

Uncover emerging opportunities from practical, predictive intelligence and improve and personalize conversations with insights about news, projects, installed technologies, initiatives, company attributes, and personnel changes.","ZoomInfo Powered by DiscoverOrg is the leading global sales and marketing intelligence tool used by over 13,000 of the world’s fastest growing companies to accelerate growth. The company itself has been named a Deloitte Fast 500 company 2 years in a row and an Inc. 5000 fastest-growing company eight times. ####ZoomInfo Powered by DiscoverOrg’s award-winning solutions provide the industry’s largest stream of accurate and actionable company, contact, and contextual buying intelligence that can be used to find, connect with, and sell to target buyers more effectively – all integrated into the leading CRM, SDR, and Marketing Automation Tools in the market. Data is gathered and updated through ZoomInfo Powered by DiscoverOrg’s proprietary combination of technology, tools, and integrations and then verified by an in-house research team – resulting in the highest guaranteed level of accuracy available across B2B sales and marketing data providers.","Salesforce Edition
Professional, Enterprise, Unlimited
Other System Requirements
Salesforce REST API required for automated data Enrichment. REST API access to only required for automated Enrich.","866.904.9666
Ëmail
support@zoominfo.com","Package Name
ZoomInfo
Version
ZoomInfo - V1.34 / 1.34.0
Listed On
12/14/2019
Latest Release
8/27/2021
Languages
English","ZoomInfo Powered by DiscoverOrg is the leading global sales and marketing intelligence tool used by over 13,000 of the world’s fastest growing companies to accelerate growth. The company itself has been named a Deloitte Fast 500 company 2 years in a row and an Inc. 5000 fastest-growing company eight times. ####ZoomInfo’s award-winning solutions provide the industry’s largest stream of accurate and actionable company, contact, and contextual buying intelligence that can be used to find, connect with, and sell to target buyers more effectively – all integrated into the leading CRM, SDR, and Marketing Automation Tools in the market. Data is gathered and updated through ZoomInfo’s proprietary combination of technology, tools, and integrations and then verified by an in-house research team – resulting in the highest guaranteed level of accuracy available across B2B sales and marketing data providers",http://www.zoominfo.com,sdr@zoominfo.com,"Vancouver, WA, USA"
Agile Accelerator,Free,Project Management,-83,2/3/2021,"Agile Development Toolset built by Salesforce
 For years, Salesforce teams have been using the Salesforce Platform to manage backlogs, sprints, user stories, defects and more. Now you have the ability to leverage the same agile app that Salesforce uses.  For questions visit: www.sfdc.co/AgileSuccess","Agile Project Management: one single application, the Salesforce Platform

Collaboration:  work in context with your peers using Chatter

Leverage Expertise:  tool built by Salesforce Agile teams for Agile Organizations","Salesforce has been recognized multiple times for being the most innovative company in the world. We constantly get asked how do we do it. Two of the biggest ways we stay innovative is our Agile mindset and using our own products. Salesforce has been practicing the Agile process for over six years. At the core of our Agile process is Agile Accelerator. Internally we call it Grand Unification System (GUS). As our single source of truth, it provides us with team visibility throughout the company and helps us quickly collaborate on work. We’ve taken the most popular features in GUS and packaged it up for our customers.####For questions and feature requests please visit our success community here: www.sfdc.co/AgileSuccess","Salesforce Edition
Enterprise, Unlimited, Force.com, Developer, Performance
Other System Requirements
Please read our ""Getting Started Guide"" which can be downloaded from our AppExchange listing and visit sfdc.co/AgileSuccess if you have any questions!",,"Package Name
Salesforce Agile Accelerator
Version
Salesforce Agile Accelerator / 1.157.0
Listed On
3/31/2015
Latest Release
2/3/2021
Languages
English","Salesforce Labs is a program that lets salesforce.com engineers, professional services staff and other employees share AppExchange apps they've created with the customer community.  Inspired by employees' work with customers of all sizes and industries, these apps range from simple utilities to entire vertical solutions.  Salesforce Labs apps are free to use, but are not official salesforce.com products, and should be considered community projects - these apps are not officially tested or documented.  For help on any Salesforce Labs app please consult the Salesforce message boards - salesforce.com support is not available for these applications. Questions? Please visit https://success.salesforce.com/answers.",https://appexchange.salesforce.com/collection/SalesforceLabs,,
Spring '21 Salesforce Community Management Package for Sites with Chatter,Free,Analytics,-34,3/8/2021,"Dashboards, reports and actionable Insights for Salesforce Experience Sites
 App by Experience Cloud##Latest Release: 03/08/2021####The Community Management package delivers the insights, dashboards, reports, and moderation controls which community managers need to drive adoption, monitor engagement, and build a vibrant site.","Use Insights to view, monitor, and act on site activity. Provided Insights pages: Adoption, Activity, Files, Groups, Moderation, Self-Service, and Topics.

Dashboards provide trends and metrics about your site activity. Provided dashboards: Scorecard, Home, Overview, Activity, Groups, Members, Licenses Content, Custom Recommendations, Moderation, Q&A, Self-Service, Search Activity, and Topics.

Chatter dashboards report on your internal organization’s Chatter usage. Provided dashboards: Overview, Adoption by Department, Files, Groups, Management, Q&A, Topics, and User. You can also report on Chatter edits.","What's new? For Spring ’21, we added a dashboard and four reports related to question post response time. They let you know how long it takes for a question post to be answered and how long it takes for the post to have an answer marked as best. These metrics are helpful for determining when to increase service levels.######Questions? Visit the Trailblazer Community at http://sfdc.co/bA3wEb.","Salesforce Edition
Enterprise, Unlimited, Developer, Performance
Other System Requirements
No additional system requirements","1-800-NOSOFTWARE
Ëmail
support@salesforce.com","Package Name
Salesforce Communities Management (for Experience Cloud Sites with Chatter)
Version
Spring ’21 / 14.0.0
Listed On
7/30/2014
Latest Release
3/8/2021
Languages
English","Salesforce, the Customer Success Platform and world's #1 CRM, empowers companies to connect with their customers in a whole new way. For more information about Salesforce (NYSE: CRM), visit: www.salesforce.com.####This application is fully supported by Salesforce. If you have questions or need help, please contact customer support.",http://www.salesforce.com,,"San Francisco, California, United States"
Mailchimp Integration App,Free,Mass Emails,-211,10/19/2020,"Create campaigns, automate your busy work, and get smarter as you grow
 Millions of people use Mailchimp to reach their customers and grow their business. Sync your Mailchimp subscribers and Salesforce® leads across platforms, so you can view campaign stats, manage your contacts, access Mailchimp's marketing tools, and more.","Manage Mailchimp subscribers from Salesforce® leads, contacts, and audience views

Upload Mailchimp subscribers as Salesforce® leads

View Mailchimp campaign results and subscriber activity history in Salesforce®","Once you install the Mailchimp Integration App, you can:####- Manage Mailchimp subscribers from Salesforce® leads, contacts, and Audiences views##- Upload Mailchimp subscribers as Salesforce® leads##- Sync Mailchimp Audiences to map Salesforce® fields to Mailchimp merge variables##- Sync leads and contacts from Salesforce® to Mailchimp##- Create custom lead, contact, and campaign member queries that run daily or##even hourly##- Manage Mailchimp data storage options in Salesforce®##- See subscriber detail and Mailchimp activity##- View Mailchimp campaign reports and campaign share reports from within##Salesforce®##- Add custom Mailchimp fields and Visualforce pages to the Contact and Lead pages","Salesforce Edition
Professional, Enterprise, Unlimited, Force.com, Developer, Performance
Other System Requirements
If you have enabled the built-in integration with Salesforce.com® within Mailchimp you may risk adversely high salesforce.com API call volumes when used in conjunction with Mailchimp Integration App. ####Your org will also require API access.","Knowledge Base
http://kb.mailchimp.com/integrations/salesforce/connect-mailchimp-for-salesforce","Package Name
Mailchimp Integration App
Version
October 14 2020, v1.94 / 1.94.0
Listed On
7/10/2013
Latest Release
10/19/2020
Languages
English","Mailchimp empowers small businesses to do big things by giving them innovative marketing tools that help them grow. Whether you want to get more people to download your app or keep loyal customers coming back, Mailchimp has all the features and integrations you need to become the brand you want to be. ####Create integrated campaigns—we’ve got email, landing pages, automations, social ads, and more—to reach your audience across multiple platforms. Connect your favorite tools to see all your marketing and sales data in one place. Set up automations to make your life easier. Then optimize everything with tools that help you get to know your people and take action on key insights, so you can get a little smarter with every campaign.",http://mailchimp.com,,"Atlanta, GA"
Duplicate Check for Salesforce: Duplicate Management made easy,Free,Data Cleansing,-237,8/30/2021,"Find duplicate records, prevent duplicates and merge duplicate data
 The all-in-one solution for deduplication: find and merge duplicates in and across leads, contacts, accounts and all other (custom) objects. Prevent duplicates on manual entry, import and API insert. ####No data transfer - Duplicate Check is 100% native.","Duplicate Check allows you to find duplicate records across two different objects. For example, find Leads that are already Contacts in Salesforce. You don't want to reach out to a new incoming Lead if it's already a Contact, right?

Fuzzy matching - Find duplicate records by applying advanced fuzzy matching methods. Find records with spelling errors and typo's, or company names written in different formats.

Direct Processing - Automatically analyze any incoming record (via API, web-to-lead, import or Marketing integration) with existing records using advanced scenarios. If it's a duplicate, use Direct Processing to automatically merge at point-of-entry.","Duplicate Check for Salesforce is the most downloaded, most complete deduplication app on the AppExchange. Besides being able to run fully automated dedupe jobs, Duplicate Check offers advanced duplicate prevention features and can detect duplicate records everywhere - from manual insert and imports to records created via the Salesforce API.####+Duplicate Check is 100% native. With no data-transfer at any point when finding, merging or preventing duplicates your data is secure.####+The application is quick and easy to use. It is built so that anyone can deal with duplicate records in Salesforce, even if you don't have any experience. Personal onboarding session included.####+Integrate Duplicate Check in your custom processes with DC Apex API, REST API, Apex plugins and Flow Actions. We are the most developer friendly deduplication solution.####+Large Data Volume proof - Our clients like EF Education First, Roche, ACLU and Richemont process millions of records without a sweat.####NOTE: Using Duplicate Check up to 10.000 records with basic functionality is free. Take a look at our various editions at duplicatecheck.com/pricing.","Salesforce Edition
Professional, Enterprise, Unlimited, Developer, Performance
Other System Requirements
None.","Ëmail
support@duplicatecheck.com
Knowledge Base
https://support.duplicatecheck.com","Package Name
Duplicate Check for Salesforce1
Version
3.310.1 / 3.310.1
Listed On
10/6/2011
Latest Release
8/30/2021
Languages
Dutch,English,French,German,Spanish",Plauti B.V. is a Dutch company that was founded in 2011. Our mission is to help other companies achieve data happiness. Data happiness can be achieved by making all employees whithin a company feel responsbile for the quality of their data. The tools Plauti created are easy-to-use and created in such a way that everybody is able to work with them.,https://www.plauti.com/?utm_source=appexchange&utm_campaign=appexchange&utm_content=company_page,info@plauti.com,"Arnhem, The Netherlands"
"dataloader.io, the #1 Data Loader for Salesforce",Free,Integration,-574,,"100% cloud solution to quickly import, export and delete data in Salesforce
 Use the most popular data loader for Salesforce to quickly and securely import, export and delete unlimited amounts of data for your enterprise. Get started quickly with our simple, 100% cloud solution.","Login with Salesforce: Use your existing Salesforce credentials to log into dataloader.io without the hassle of downloading an application.

Data mapping made easy: Auto-mapping, keyboard shortcuts and search filters help you find and map fields quickly.

Avoid redundant work: Pull related objects such as Account ID’s through a single pull, removing the need to pull multiple datasets and re-associate them in Excel.","What's New!##●  Scheduling: Automate task imports and exports on a hourly, daily, weekly or monthly basis##●  DropBox, Box, FTP and sFTP support: Import and export data from multiple file sources.##●  Canvas UI####dataloader.io is powered by Anypoint Platform, MuleSoft's solution for connecting APIs, applications, data and devices. Need to integrate your ERP, marketing automation or sales process management app to Salesforce? Build, deploy and manage your APIs and integrations in the cloud, on-premises or hybrid using Anypoint Platform. Learn more at http://bit.ly/1E7TL3W.####Start using dataloader.io by visiting our website at https://dataloader.io.####Happy data loading!","Salesforce Edition
Professional, Enterprise, Unlimited, Force.com, Developer, Performance
Other System Requirements
In order to use dataloader.io you must have Salesforce credentials:##* User Name##* Password####The following browsers are supported:##* MS Internet Explorer 8x and up##* Firefox 4x and up##* Google Chrome 10x and up##* Apple Safari 5x and up","Ëmail
support@dataloader.io
Knowledge Base
https://getsatisfaction.com/dataloaderio",,"MuleSoft makes it easy to connect the world's applications, data, and devices. With our market-leading Anypoint Platform™, companies are building application networks to fundamentally change the pace of innovation. MuleSoft’s API-led approach to connectivity gives companies new ways to reach their customers, employees, and partners. Organizations in more than 60 countries, from emerging companies to Global 500 corporations, use MuleSoft to transform their businesses.",https://www.mulesoft.com,info@mulesoft.com,"San Francisco, CA, USA"
In-App Guidance: Boost Service User Productivity in Lightning Experience,Free,Admin & Developer Tools,0,1/17/2020,"Install prompts to increase user adoption of five key Salesforce features.
 Salesforce asked the Trailblazer Community for a wishlist of In-App Guidance prompts to drive adoption of the most time-saving features in Lightning Experience. This package includes prompts for the top-five requests.","Introduce your users to favorites, list views, the Chatter profile, Help Menu, and how to find their recent items.

One set of five prompts for Case (Service Console app) homes each link to helpful resources.

Edit the prompts to change the Permission or Schedule settings.","Kick-start your own Lightning Experience adoption user engagement journey with prompts that gently suggest that users try out features key to working smarter in Lightning Experience. ####As users begin to explore their new workspace, they want actionable, relevant information about productivity-boosting features. What better way to deliver that information than inside the app while they work. ####Install the prompts to use as is, or adjust the Permission and Schedule settings for your org’s Lightning Experience rollout strategy. Prompts are active as soon as you install them. You can’t change the prompt location. But you can use our prompts as a starting point to creating your own on different pages and apps.####Have feedback or ideas for prompts that you’d like to see in future packages? Take the conversation to the * Lightning Now! * group on the Trailblazer Community and use the tag #lightninginappguidance.","Salesforce Edition
Professional, Enterprise, Unlimited, Developer, Performance, Essentials
Other System Requirements
An admin must have Modify All Data or Customize Application permission to manage prompts.####Non-admin users must have the Manage Prompts AND Modify Metadata permissions to manage prompts.",,"Package Name
In-App Guidance: Boost Service User Productivity in Lightning Experience
Version
Spring 2020 / 1.1.0
Listed On
1/17/2020
Latest Release
1/17/2020
Languages
English","Salesforce Labs is a program that lets salesforce.com engineers, professional services staff & other employees share AppExchange apps they've created with the customer community.  Inspired by employees' work with customers of all sizes and industries, these apps range from simple utilities to entire vertical solutions.  Salesforce Labs apps are free to use, but are not official salesforce.com products, and should be considered community projects - these apps are not officially tested or documented.  For help on any Salesforce Labs app please consult the Salesforce message boards - salesforce.com support is not available for these applications. Questions? Please visit https://success.salesforce.com/answers.",https://appexchange.salesforce.com/collection/SalesforceLabs,,"San Francisco, CA, USA"
NICE inContact CXone Omnichannel CTI / IVR / ACD / Dialer / Contact Center,$20 USD per user per month,Telephony,-98,9/10/2021,"NICE inContact CXone Agent for Salesforce—Personalized Customer Experience
 NICE inContact CXone Agent for Salesforce provides a call center solution in the cloud unifying the agent experience within Sales/Service Cloud. Increase agent efficiency, while improving customer experience with the CTI leader. Install in under 10 mins!","Improved CX: Save at least 2 minutes per call by synchronizing contact center and CRM information. Leverage customer data to optimize interaction routing. Improve CSAT scores by personalizing the omnichannel customer experience. Easy channel elevation.

Handle 10% more calls: Integrate contact center controls within Salesforce.  Automatically create and map contact information to objects, e.g., cases, contacts, accounts and tasks. Skills-based routing directs digital channels to the best-suited agent.

Reduced training costs: No custom development required for this pre-built integration. Eliminate toggling between multiple applications & simplify the agent experience. Integrated WEM capabilities let agents manage schedules & performance in Salesforce.","Personalize Interactions with Omnichannel Context: Customers want agents to know who they are and what they want without long explanations. NICE inContact CXone Agent for Salesforce gives your agents a 360-degree view of the customer, including insights into interactions across all channels. ####Increase Agent Efficiency: When agents have too many screens & applications to juggle, customer service suffers. Our integration streamlines omnichannel contact handling while improving agent efficiency. Use customer data—caller ID, IVR input, customer number, etc.—or CXone skills-based routing to connect customers to the ideal agent or queue. Integrated WEM capabilities empower agents to manage their schedules and performance directly in Salesforce.####Deploy & Maintain with Ease: Integrations can be difficult and costly to develop, deploy & maintain. CXone Agent for Salesforce lets you deploy an integrated contact center solution in minutes and download updates as needed.####With the industry’s most unified, multichannel cloud platform, NICE inContact is affordable, easy to manage, fast and flexible to implement. We provide solutions for: ACD, IVR, Dialer, CTI, WEM (QM/WFM), & Analytics.","Salesforce Edition
Professional, Enterprise, Unlimited, Developer, Performance
Other System Requirements
Browsers##--Chrome (latest)##--Firefox (latest)##--Safari (latest)##--MS Edge (latest)########NICE inContact ACD account","1.866.965.7227
Ëmail
customerservice@niceincontact.com","Package Name
NICE inContact CXone Agent for Salesforce
Version
Summer '21 / 18.2.0
Listed On
1/9/2014
Latest Release
9/10/2021
Languages
English,French,German,Italian,Japanese,Korean,Portuguese,Russian,Simplified Chinese,Spanish","NICE CXone, the contact center platform that integrates into Salesforce, is part of NICE- a global provider of both cloud and on-premises enterprise software solutions that empower better customer experience (CX) through analytics, workforce engagement, contact center software and more. NICE also helps organizations of all sizes ensure compliance and combat fraud. NICE has over 25,000 customers in more than 150 countries, including over 85 of the Fortune 100 companies.",http://www.niceincontact.com,bryston.kehl@niceincontact.com,"Salt Lake City, Utah"
